stem,length_ngram,category
change,unigram,direct_change
shift,unigram,direct_change
reform,unigram,direct_change
revolut,unigram,direct_change
transform,unigram,direct_change
overhaul,unigram,direct_change
reset,unigram,direct_change
pivot,unigram,direct_change
reimagin,unigram,direct_change
redo,unigram,direct_change
rebuild,unigram,direct_change
modify,unigram,direct_change
restructur,unigram,direct_change
innovat,unigram,direct_change
progress,unigram,direct_change
advanc,unigram,direct_change
future,unigram,forward_looking
new,unigram,forward_looking
next,unigram,forward_looking
vision,unigram,forward_looking
potential,unigram,forward_looking
fresh,unigram,forward_looking
modern,unigram,forward_looking
alternativ,unigram,forward_looking
evolving,unigram,forward_looking
evolution,unigram,forward_looking
emerging,unigram,forward_looking
adapt,unigram,forward_looking
broken,unigram,contrast_statusquo
outdated,unigram,contrast_statusquo
fail,unigram,contrast_statusquo
old,unigram,contrast_statusquo
established,unigram,contrast_statusquo
establishment,unigram,contrast_statusquo
gridlock,unigram,contrast_statusquo
swamp,unigram,contrast_statusquo
corrupt,unigram,contrast_statusquo
elit,unigram,contrast_statusquo
stagnat,unigram,contrast_statusquo
obsolete,unigram,contrast_statusquo
rigid,unigram,contrast_statusquo
stuck,unigram,contrast_statusquo
backward,unigram,contrast_statusquo
challenge,unigram,action_oriented
break,unigram,action_oriented
disrupt,unigram,action_oriented
overhaul,unigram,action_oriented
reject,unigram,action_oriented
undo,unigram,action_oriented
replac,unigram,action_oriented
repeal,unigram,action_oriented
dismantl,unigram,action_oriented
rework,unigram,action_oriented
revamp,unigram,action_oriented
uproot,unigram,action_oriented
renovat,unigram,action_oriented
